text,SVM_TFIDF,annotation,sentiment,ENSEMBLE_TFIDF,ENSEMBLE_W2V,SVM_W2V,KNN_TFIDF,KNN_W2V,NV_TFIDF,NV_W2V,RF_TFIDF,RF_W2V
whichever one of you little freaks decided to test run your ddos attack on the campus ssh systems on a friday afternoon can eat my entire ass,0,1,0.2627764,0,0,0,0,0,0,0,0,0
 can we report vulnerability in a domain which is neither included in out scope nor in scope ,1,1,0.45510548,0,0,0,0,0,0,0,0,1
hacking the hacker  stopping a big botnet targeting usa  canada and italy ,0,0,0.53404015,0,0,0,0,0,0,0,0,0
wordpress rest api 0day exploit is out   freelancewebdesigner  webdesigner  webdeveloper  ecommerce  singapore  sg,0,1,0.53554255,0,0,0,0,0,0,0,0,0
  why do you still ddos yourself,0,0,0.8366846,0,0,0,0,0,0,0,0,0
i truly admire people that allow themselves to be transparent  that   s a different level of vulnerability,0,0,0.07029241,0,0,0,0,0,0,0,0,0
hacker discloses unpatched windows zero day vulnerability  with poc  ,0,1,0.24944049,0,0,0,0,0,0,0,0,0
globeimposter ransomware attack w  high intensity data encryption algorithm  numerous variants   cyberthreats  cybercrime  smb  cybersecurity globeimposter which has more than 20 variants  is still wildly growing   360 total security blog  via ,1,1,0.6790385,1,1,1,1,1,1,1,1,1
vulnerability is the birthplace of love ,0,0,0.12462529,0,0,0,0,1,0,0,0,0
cracking ransomware  ransomwarrior victims can now retrieve files for free  via   amp  ,0,0,0.02700902,0,0,0,0,0,0,0,0,0
your vulnerability can be a gift to others,0,0,0.02532482,0,0,0,0,0,0,0,0,0
cve 2018 16276  an issue was discovered in yurex read in drivers usb misc yurex c in the linux kernel before 4 17 7  local attackers could use user access read writes with incorrect bounds checking in the yurex usb    vulmon vulnerability feed  vul   ,0,1,0.91481096,0,0,0,1,1,0,0,0,0
for years  one of the most lucrative ways for hackers to generate profits was through ransomware attacks  now  however  another highly profitable attack style is emerging  particularly within the enterprise sector   ,1,0,0.5609414,1,1,0,1,0,1,0,1,1
hacking the hacker  stopping a big botnet targeting usa  canada and italy  ,1,0,0.53404015,1,1,1,1,1,1,1,1,1
alert  be prepared against  oss vulnerabilities  especially against a new  struts 2 threat   learn more  amp  take action now   ,0,1,0.25167713,0,0,0,0,0,0,0,0,0
a new vulnerability in alexa allows phishing attacks to trick users into sending their secure credentials  this trick called  echosquatting  and allows hackers to hide malware over a certain skill  always stay up to date so you know what to look for    ,0,1,0.20686209,0,0,0,0,0,0,0,0,0
hacking the hacker  stopping a big botnet targeting usa  canada and italy   infosec,0,0,0.43407363,0,0,0,0,0,0,0,0,0
mm   i can smell your   vulnerability  ,0,0,0.05168093,0,0,0,0,0,0,0,0,0
q  so what is isolated browsing   a  fail safe protection against web borne phishing and malware attacks  excerpt from   phishing  ransomware  isolatedbrowsing  microtraining  lifehacks ,0,0,0.74758244,0,0,0,0,0,0,0,0,0
qihoo 360   s precise analysis of ransomware for august ,0,0,0.40514746,0,0,0,0,0,0,0,0,0
ron isley   s performance is so powerful  love the vulnerability   areathahomegoing,0,0,0.020155096,0,0,0,0,0,0,0,0,0
how can you prevent sql injection attacks against  discusses several ways to do so  starting at the postgresql protocol level  ,0,0,0.68958396,0,0,0,0,0,0,0,0,0
i   m going to probably cancel the 3d arcadestick run to another date next week  i   m scared my isp will ddos me and they   ll cut it short we   ll try it sometime next week,1,1,0.9006355,1,1,1,1,1,1,0,1,1
  any anastomosis could leak  preliminary data shows primary anastomosis is feasible and with good results  diva arm of the ladies trial will be published soon  if a leak occurs will go to court those surgeons who will eventually fail to rescue ,1,0,0.44549522,1,1,1,1,1,1,1,1,1
the creator of snapchat for allowing me to even perform those actions with vulnerability,0,0,0.18155432,0,0,1,0,0,0,1,0,0
hacking the hacker  stopping a big botnet targeting usa  canada and italy  ,0,0,0.53404015,0,0,0,0,0,1,0,0,0
bank of spain hit by ddos attack ,0,1,0.87128884,0,0,0,0,0,0,0,0,0
vulnerability is real courage,0,0,0.3232527,0,0,0,0,0,0,0,0,0
 ddos maybe or just too many people trying to install mw2 but this issue has messed up my xbox console itself like it works but it struggles to load or even start,0,1,0.94803137,0,0,0,0,0,0,0,0,0
hacker discloses unpatched windows zero day vulnerability  with poc   via  ,0,1,0.28777656,0,0,0,0,0,0,0,0,0
cracking ransomware  ransomwarrior victims can now retrieve files for free  ,0,0,0.038993604,0,0,0,0,0,0,0,0,0
   amp   predict that  cybercriminals will target  iot systems  increasing the scope of  ransomware    despite this  many  it teams still do not consider ransomware when building  bcdr plans  we explain why this needs to change here ,0,0,0.78782296,0,0,0,0,0,0,0,0,0
it looks like a vulnerability disclosure program will soon become mandatory  find out what your company should be doing   ,1,0,0.07149008,0,0,0,0,0,0,0,1,1
postgresql  how can you prevent sql injection attacks against postgresql  tapoueh discusses several ways to do so  starting at the postgresql protocol level  ,0,0,0.68879706,0,0,0,0,0,0,0,0,0
the simplest of devices can be a vulnerability  as the world pays more attention to digital  security  vology discusses how to stem these threats with   technology  it ,0,0,0.26247588,0,0,0,0,0,0,0,0,0
 hacking  the hacker  stopping a big  botnet targeting  usa    canada and  italy   security affairs ,1,0,0.5486556,1,1,1,1,1,1,1,1,1
android vulnerability exposes users data via wifi   cybersecurity  cyber  infosec  security   privacy  risk,0,1,0.3204387,0,0,0,0,0,0,0,0,0
source code to  locky  ransomware   security  networksecurity  cybersecurity  virus  malware  locky  ransomware  ransomwareprotection ,0,1,0.7174557,0,0,0,0,0,0,0,0,0
why cdns don   t solve your ddos problem ,0,0,0.68377614,0,0,0,0,0,0,0,0,0
 don t click it is ransomware,1,1,0.30527613,1,1,1,1,1,1,1,1,1
    vulnerability to rape     could you please elaborate ,0,0,0.3824788,0,0,0,0,1,0,0,0,0
    can you please fix ps4 809 oc abb sever  it has been down for over a week  been ddos attacked on off please reset ips   filled out outage forms still no response     stopddos,0,1,0.9927327,0,0,0,0,0,0,0,0,0
threatlist  ransomware attacks down  fileless malware up in 2018 ,0,0,0.6072619,0,1,0,1,0,0,0,0,0
tango down  malwaremustdie ,0,1,0.6126344,0,0,0,0,0,0,0,0,0
grr ddos threat  definitely scared ,1,1,0.9904144,1,1,0,1,1,1,0,0,1
hey    which one of these is code for  this is clearly an account created by a botnet along with the other 15 accounts that just followed me   ,1,1,0.070158035,1,1,1,0,0,0,0,1,1
 uses ad blocker bypass technology which increases your vulnerability to infection from  malvertising  malicious ads    cybersecurity  business  smallbiz  startup ,0,1,0.43683928,0,0,0,0,0,0,0,0,0
an infinite loop vulnerability was found in libtirpc before version 1 0 2 rc2 that allows server to enter an infinite loop    cybersecurity  linux,1,1,0.37526625,1,0,1,0,0,0,1,1,1
 depressed  security researcher drops serious  0day for fully patched  windows  exploit on twitter with  proofofconcept code  cert verified the exploit code as local privilege escalation   ,1,1,0.9265614,1,1,1,1,1,1,1,1,1
intelligently automated ddos defense   netscout  via ,1,0,0.30114314,0,0,0,1,1,0,0,1,1
the domain name  also could refer to a data breach or document leak  interesting name for a cyber security firm      starting bid  150  ,0,1,0.2592368,0,0,0,0,0,0,0,0,0
is your business at risk  scooch reduces risks by providing  cybersecurity screening to notify you about risky passwords and warning about access to  phishing sites that lead to harmful  ransomware viruses   ,0,0,0.13775377,0,0,0,0,0,0,0,0,0
cybersecurity experts point to iran for bitcoin ransomware   ,0,1,0.63280034,0,0,0,0,0,0,0,0,0
  just want to say  i think it is really cool that you are doing this   sharing an obvious wip and taking in a ton of feedback  pleasantly surprised at the vulnerability earnest attempt to listen on display here  more of this  please         ,0,0,0.026552754,0,0,0,0,0,0,0,0,0
more data breaches despite increasing security budgets  here some causes by cyberedge  infographic       infosec  cybersecurity  cyberattack  hack  breach  threat  ddos  cyberwarfare   malware  ransomware  cyberwarning  phishing  spyware  tech  technology ,1,0,0.8062422,1,1,1,1,1,1,1,1,1
 my vulnerability of him having total control is both exhilarating and agonizing  creating a feeling so intense that i moan against his lips again ,1,0,0.93727493,1,1,0,1,1,1,0,1,1
to judson almeida  everything contains a vulnerability ,0,0,0.3985746,0,0,0,0,0,0,0,0,0
 1  i so appreciate your vulnerability and willingness to share  happy weekend      ,0,0,0.007049786,0,0,1,0,0,1,1,0,0
 is such a great hacker he made his viewers ddos group therapy for him ,0,1,0.12571578,0,0,0,0,0,0,0,0,0
 bitfiwallet has  vulnerability  no bounty  no  unhackable     via              cyberattacks  infosec  cryptocurrencies   hardwarewallet  reverseengineering  cybersecurity,0,0,0.80354184,0,0,0,0,0,0,0,0,0
understanding container security  kernel exploits  ddos attacks  amp  poisoned images  oh my  by chuck hegarty  ,1,0,0.23644015,1,1,1,0,1,1,1,1,1
the week in ransomware   february 16th 2018   notpetya  amp  saturn   ransomwareprotection  security,0,0,0.3369352,0,0,0,0,1,0,0,0,1
the week in ransomware   february 16th 2018   notpetya  amp  saturn   ransomwareprotection  security,0,0,0.3369352,0,0,0,0,0,0,0,0,0
i appreciate the love for hacking guys  but let us not ddos our own fkn stream    rip  technotherapy w  ,0,1,0.9685921,0,0,0,0,0,0,0,0,0
 maybe they thought it was a security vulnerability and removed it on general principles    d,0,0,0.51735765,0,0,1,0,0,0,1,0,0
 the way it delivers in general with networks breaking down weekly if not daily  the vulnerability of systems to hacking and also at times the poor system implementation and frequently absence of redundancy  i place more confidence in a mule than a robot rig,1,0,0.7227554,1,1,1,1,1,1,1,1,1
    android vulnerability exposes users data via wifi   androidsecuritynews,0,1,0.23030406,0,0,0,0,0,0,0,0,1
    here we go again newly discovered android vulnerability can be used to spy on you   androidsecuritynews,0,1,0.07630555,0,0,0,0,0,0,0,0,0
    barack obamas blackmail virus ransomware only encrypts  exe files   malwaresecuritynews,0,1,0.5050447,0,0,0,0,0,0,0,0,0
microsoft  edge information disclosure vulnerability crafted https web site obtain sensitive  cve 2016 0125  patch  cybersecurity,0,1,0.73740375,0,0,0,0,0,0,0,0,0
 the lyrics have so much depth and vulnerability  the production is really dark but really good,0,0,0.041400183,0,0,0,0,0,0,0,0,0
simpnews 2 40 01 print php newsnr sql  injection ,1,1,0.63104194,1,1,1,1,1,1,1,1,1
   hacking the hacker  stopping a big botnet targeting usa canada and italysecurity affairs    ,0,0,0.44585937,0,0,0,0,0,0,0,0,0
   anonymous catalonia claims ddos attack on bank of spain website    ,1,1,0.91775304,1,1,1,1,1,1,1,1,1
    barack obamas blackmail virus ransomware only encrypts  exe files   latestsecuritynews,0,1,0.5050447,0,0,0,0,0,0,0,0,0
skype empresarial office 365 16 0 10730 20053 denial of service ,1,1,0.8341801,1,1,1,1,1,1,1,1,1
 didn   t know about voter data leak  and i   m a news junky ,0,1,0.52590495,0,0,0,0,0,0,0,0,0
i hate when i like someone  the vulnerability scares me ,0,0,0.9467396,0,0,0,0,0,0,0,0,0
all android versions affected by this vulnerability  except pie   pocketnow   gt  gt  not good  ,0,1,0.9401577,0,0,0,0,0,0,0,0,0
vulnerability is hard,0,0,0.9730662,0,0,1,0,1,0,1,0,1
 trying to make out you   d ddos me,0,1,0.8769833,0,0,0,0,0,0,0,0,0
 wouldn   t ddos you,0,1,0.24991885,0,0,0,1,0,0,0,0,1
 why would i ddos anyone only use it for good causes,0,1,0.5864314,0,1,0,0,0,0,1,0,0
our ddos service  please use the grardstresser  ,0,1,0.29421684,0,0,0,0,0,0,0,0,0
d guard anti ddos firewall 5 23 demo   software sales from us ,0,0,0.36182708,0,0,0,0,0,0,0,0,0
 qanon real time ddos attack map ,0,0,0.62581384,0,0,0,0,0,0,0,0,0
d guard anti ddos firewall 5 23 demo   software sales from us ,0,0,0.36182708,0,0,0,0,0,0,0,0,0
updated  there is no known workaround for the security flaw  ,1,1,0.5521476,1,1,1,1,1,1,1,1,1
how ddos attacks work  amp  why they are hard to prevent ,0,0,0.9700484,0,0,0,0,0,0,0,1,1
embrace vulnerability and then can you only be honest with yourself ,1,0,0.07858175,1,1,1,1,0,1,1,1,1
the uk overall protection against ddos by and low pricing powered by custom net it back and chicks both want to education,0,0,0.62510484,0,0,0,0,0,0,0,0,1
barack obamas blackmail virus ransomware only encrypts  exe files  barack obamas blackmail    ,0,1,0.55029607,0,0,0,0,0,0,1,0,0
cve 2018 16368 splashxpath  strokeadjust in splash splashxpath cc in xpdf 4 00 allows remote attackers to cause a denial of service  heap based buffer over read  via a crafted pdf file  as demonstrated by pdftoppm   ,0,1,0.6989903,0,0,0,0,0,0,1,0,0
cve 2018 16369 xref  fetch in  in xpdf 4 00 allows remote attackers to cause a denial of service  stack consumption  via a crafted pdf file  related to acroform  scanfield  as demonstrated by pdftohtml   ,0,1,0.73451024,1,1,1,0,0,1,1,1,1
cve 2018 16373 frog cms 0 9 5 has an upload vulnerability that can create files via  admin   plugin file manager save   ,0,1,0.15012492,0,0,0,0,0,0,0,0,0
cve 2018 16375 an issue was discovered in openjpeg 2 3 0  missing checks for header info height and header info width in the function pnmtoimage in bin jpwl convert c can lead to a heap based buffer overflow   ,0,1,0.8879895,0,0,0,0,0,0,0,0,0
cve 2018 16376 an issue was discovered in openjpeg 2 3 0  a heap based buffer overflow was discovered in the function t2 encode packet in lib openmj2 t2 c  the vulnerability causes an out of bounds write  which may lead to remote    ,1,1,0.7929531,1,1,1,1,1,1,1,1,1
cve 2018 16380 an issue was discovered in ogma cms 0 4 beta  there is a csrf vulnerability in users php action createnew that can add an admin account   ,0,1,0.6374205,0,0,0,0,0,0,0,0,0
barack obamas blackmail virus ransomware only encrypts  exe files ,0,1,0.48843652,0,0,0,0,0,0,0,0,0
cve 2018 16368 splashxpath  strokeadjust in splash splashxpath cc in xpdf 4 00 allows remote attackers to cause a denial of service  heap based buffer over read  via a crafted pdf file  as demonstrated by pdftoppm   ,1,1,0.6989903,1,1,1,1,1,1,1,1,1
cve 2018 16369 xref  fetch in  in xpdf 4 00 allows remote attackers to cause a denial of service  stack consumption  via a crafted pdf file  related to acroform  scanfield  as demonstrated by pdftohtml   ,0,1,0.73451024,0,0,0,0,0,0,0,0,0
cve 2018 16373 frog cms 0 9 5 has an upload vulnerability that can create files via  admin   plugin file manager save   ,0,1,0.15012492,0,0,0,0,0,0,0,0,0
cve 2018 16375 an issue was discovered in openjpeg 2 3 0  missing checks for header info height and header info width in the function pnmtoimage in bin jpwl convert c can lead to a heap based buffer overflow   ,0,1,0.8879895,0,0,0,0,0,0,0,0,0
cve 2018 16376 an issue was discovered in openjpeg 2 3 0  a heap based buffer overflow was discovered in the function t2 encode packet in lib openmj2 t2 c  the vulnerability causes an out of bounds write  which may lead to remote    ,1,1,0.7929531,1,1,0,1,1,1,0,0,0
cve 2018 16380 an issue was discovered in ogma cms 0 4 beta  there is a csrf vulnerability in users php action createnew that can add an admin account   ,1,1,0.6374205,0,0,0,0,0,0,0,0,0
all of 2019 is going to be about being okay with being vulnerability and owning up to it,0,0,0.39679363,0,0,0,0,1,0,0,0,1
yo zoho stop ddos other than anyone i reach out just got hit using my huge dick changing gears,0,1,0.82260877,0,0,0,0,0,0,0,0,0
 even tho i didn   t like the ddos i always thought it was pretty cool,0,1,0.24958228,0,0,0,0,0,0,0,0,0
 poc  azorult stealer 2 botnet sql injection vulnerability  stealer of stored passwords  cookies  autocomplete from browsers  google chrome  mozilla firefox  ie  edge etc   stealer of stored passwords  outlook  thunderbird  filezilla  winscp   ,0,1,0.7122469,0,0,0,0,0,0,0,0,0
bank of spain   s website hit with heavy ddos attack ,0,1,0.9090649,0,0,0,0,0,0,0,0,0
hacking the hacker  stopping a big botnet targeting usa  canada and italy  today i   d like to share a full path analysis including a kickback attack which took me to gain full access to an entire ursniff gozi botnet  ,1,0,0.6514682,1,1,1,1,1,1,1,1,1
android vulnerability exposes users data via wi fi ,0,1,0.19045524,0,0,0,1,1,0,0,0,1
i   ll never beef a cunt who can ddos  fuck that            ,0,0,0.6306972,0,0,0,0,1,0,0,0,0
vulnerability and honesty its what makes you who you really are ,1,0,0.20535111,0,0,0,1,1,0,0,0,0
  ddos attack right after i block him  qrious  i knew he had like the stinkbait            his weapons will be used in court against him  now block  if you have not already           ,1,1,0.5091281,1,1,1,1,1,1,1,1,1
  me on my netcat 0day and calling ur isp ,1,1,0.15926982,1,1,0,1,1,1,0,1,1
splunk  splk  announces continued growth in itoa  itom  and  security and  vulnerability management ,1,0,0.25210863,1,1,1,1,1,1,1,1,1
in the corner of a man   s mind  there   s a place where vulnerability hides,0,0,0.2581172,0,0,1,0,0,1,1,0,0
 just all got booted from comp  error  not ddos,0,0,0.9305498,0,1,1,0,0,0,1,0,0
 barack obamas blackmail virus ransomware only encrypts  exe files   globalsecuritynews,0,1,0.5050447,0,0,0,0,0,0,0,0,0
a10 networks to showcase innovations in 5g mobile network security  butt   ddos mitigation      cloud2butt,1,0,0.3782177,1,1,1,1,1,0,1,1,1
 poc  samsung remote     command injection ,0,1,0.5995116,0,0,0,0,0,0,0,0,0
 poc  php 7 2 7 2 7 cve 2018 12882     remote code rxecution ,0,1,0.40634042,0,0,0,0,0,0,0,0,0
esb 2018 2595    debian  spice  denial of service   existing account ,0,1,0.75595367,1,1,1,1,1,1,1,0,0
each hair in judson almeidais beard contributes to make the worldis largest ddos ,0,0,0.17788555,0,0,0,0,0,0,0,0,0
still protect them a 2gbps ddos prot provider to 4 servers are still trying to do list for a 2gbps ddos attacks to be real,0,0,0.7392013,0,0,0,0,0,0,0,0,0
barack obamais blackmail virus ransomware only encrypts  exe files ,1,1,0.50737244,1,1,1,1,1,1,1,1,1
til  en  steal messages from signal using rce  cve 2018 10994 explanation  via  ruh oh ,1,1,0.26808035,1,1,1,1,1,1,1,1,1
i   m posting this shit last time i   m f a  plz save my soul i can   t handle this  can play anyone  free ddos pass for a rt,1,1,0.8085608,1,1,1,1,1,1,1,1,1
who claims to do list for them ransomware offline apophissquad musalbas kek ex lulzsec member college profile error 502,1,0,0.55623186,1,1,1,1,1,1,1,1,1
 you all  are getting clapped 2 0 and then you ddos the server  ,0,1,0.33225554,0,0,0,0,0,0,0,0,0
attackers actively exploiting apache struts vulnerability ,0,1,0.41816378,0,0,0,0,0,0,0,0,0
 botnets  by maestron   this is a collection of  botnet source codes  un     dev  programming  tech  cpp,0,1,0.19370374,0,0,0,0,0,0,0,0,0
an    api breaking    vulnerability has been uncovered that potentially exposes android device systems data to rogue apps     information that could be very useful to bad actors  ,1,1,0.8145059,1,1,1,1,1,1,1,1,1
todayis  ddos forecast is 50   with a 99  chance of rain  live forecast   ,0,0,0.8891492,0,0,0,0,0,0,0,0,0
protect  your customers  access prestashop anti ddos attack  prestashop  ,0,0,0.34471422,0,0,0,0,0,0,0,0,0
threatpost  an    api breaking    vulnerability has been uncovered that potentially exposes android device systems data to rogue apps     information that could be very useful to bad actors  ,0,1,0.8145059,0,0,0,0,0,0,0,0,0
cve 2018 16367  onlinejudge 2 0  the sandbox has an incorrect access control vulnerability that can write a file a,1,1,0.23224346,1,1,1,0,1,0,1,0,0
cve 2018 16358  cross site scripting  xss  vulnerability in inc core class dc core php in the media manager in dotc,0,1,0.26104692,0,0,0,0,0,0,0,0,0
cve 2018 16354  issue was discovered in fhcrm through 2018 02 11  there is a sql injection via the index php user ,0,1,0.9005422,0,0,0,1,0,0,0,0,0
cve 2018 16353  issue was discovered in fhcrm through 2018 02 11  there is a sql injection via the  index php cust,1,1,0.87698454,1,1,1,1,1,1,1,1,1
 cont d     follows or retweets known troll botnet accounts,0,1,0.17406829,0,0,0,0,0,0,0,0,0
ransomware  a guide for protecting todays businesses ,1,0,0.13470107,1,1,0,1,1,1,0,1,1
a collection of botnet source codes  unorganized  for educational purposes  url  ,0,1,0.17659183,0,0,0,0,0,0,0,0,0
threatpost  an    api breaking    vulnerability has been uncovered that potentially exposes android device systems data to rogue apps     information that could be very useful to bad actors  ,1,1,0.8145059,1,1,1,1,1,1,1,1,1
 an    api breaking    vulnerability has been uncovered that potentially exposes android device systems data to rogue apps     information that could be very useful to bad actors  ,1,1,0.8145059,1,1,1,1,1,1,1,1,1
windows zero day vulnerability comes with poc on github  via  ,1,1,0.152712,1,0,0,1,1,0,0,0,1
vulnerability scanning vs  penetration testing  ,1,0,0.186856,1,1,1,1,1,1,1,1,1
from compromised website to ransomware infection   quttera web security blog   malware  ransomware  javascript  php,0,0,0.81487846,0,1,1,0,0,0,1,0,0
 stop ddos and abusing powers gen  ,0,1,0.5976463,0,0,0,0,0,0,0,0,0
being lonely sucks when you know it   s because of your own brand of isolation and lack of emotional vulnerability,1,0,0.8017522,1,1,0,1,0,1,0,1,0
microsoft  edge memory corruption vulnerability execute arbitrary code crafted web site remote attackers  cve 2016 0124  patch  security,0,1,0.49753517,0,0,0,1,0,0,0,0,0
any organization that depends on critical systems to run their businesses need to ensure they have prepared themselves for a targeted attack   ransomware  cryptojacking  via  ,0,0,0.36723375,0,0,0,0,0,0,0,0,0
target files extension of  princessevolution  ransomware  the extension are decoded via a subtraction with 0x31  the used code to decode the content  think that 1518 extensions targeted  ,1,1,0.57955,1,1,1,1,0,1,1,1,1
bot infected  website to execute irc based ddos attacks   quttera web security blog   bots  ddos  malware,0,0,0.88677126,0,0,0,0,0,0,0,0,0
hostrush us ssd vps 1gb s io ddos 20gb ssd raid 10       lifetime 8gb      6 99 m  4gb      5 m  2g      4 m       ,0,1,0.292436,0,0,0,0,0,0,0,0,0
hacking the hacker  stopping a big botnet targeting usa  canada and italy   cp blog    via ,1,0,0.28906587,0,0,0,1,0,1,0,0,0
 thanks for your vulnerability and authenticity in that answer   bekindedu,1,0,0.01997028,0,1,0,1,0,1,0,0,0
esb 2018 2598    debian  spice gtk  denial of service   existing account ,0,1,0.77253497,0,0,0,0,0,0,0,0,0
faqengine 4 16 03 question php questionref sql  injection ,0,1,0.55429775,0,0,0,0,0,0,0,0,0
any digital artifact   any file  program  document  image  link  script  or email   is potentially malicious  darkpoint identifies which ones are  and what you can do about it   infection  exploit  forensic  malware  analysts  engineer  solution  vulnerability  ,0,0,0.70705074,0,1,1,0,0,0,1,0,0
it   s a hard transition when ya going from being alone  keeping everything in and then to opening up   sharing and having to talk about shit  a relationship is a whole lot of vulnerability man  that shit really smacks ya in the face ,0,0,0.4757571,0,0,0,0,0,0,0,0,0
the human cost of the variants allow rce ,0,0,0.6461789,0,0,1,0,1,1,1,0,0
 the world is against us  when pedophile hackers ddos the epic servers to kill our lead you know things have gone to shit ,0,1,0.6671779,0,0,0,0,0,0,0,0,0
ddos attack from anonymous catalonia cripples bank of spain website ,0,1,0.7780675,0,0,0,0,1,0,1,1,0
distributed denial of service attack  ddos  ,1,0,0.9125958,1,1,1,1,1,1,1,1,1
hacking the hacker  stopping a big botnet targeting usa  canada and italy ,0,0,0.53404015,0,0,0,0,0,0,0,0,0
cve 2018 16353   an issue was discovered in fhcrm through 2018 02 11  there is a sql injection via the  ind    ,1,1,0.8351598,1,1,1,0,1,0,1,0,1
cve 2018 16354   an issue was discovered in fhcrm through 2018 02 11  there is a sql injection via the inde    ,0,1,0.8265787,0,0,0,0,0,0,0,0,0
cve 2018 16358   a cross site scripting  xss  vulnerability in inc core class dc core php in the media mana    ,0,1,0.18596603,0,0,0,0,0,0,0,0,0
stress vulnerability quiz ,1,0,0.8089888,1,1,1,1,1,1,1,1,1
barack obamais blackmail virus ransomware only encrypts  exe files ,0,1,0.50737244,0,0,0,0,0,0,0,0,0
hold up with another client of our ddos other then kick her mouth,1,0,0.26726854,1,1,1,1,1,1,1,1,1
  there is a gpu memory leak where it logs all depth of field data and never deletes it because thereis no associated time out for the data  some cards dont have this issue  seems to be a driver related fault  update your drivers  and if that fails turn it off in the games ini ,1,0,0.8160763,1,1,1,0,0,1,1,0,1
1  fix the background column icon and select times wrong  2  fix the visual interface to right click the window space on the picture  3  fix arbitrary file read vulnerability  4  the special specification picture address is not shown on the commodity detail page,0,1,0.97978324,0,0,0,0,0,0,0,0,0
learned to never show my vulnerability ,0,0,0.7022778,0,1,0,0,0,0,1,1,1
cve 2018 16336  exiv2  internal  pngchunk  parsetxtchunk in exiv2 v0 26 allows remote attackers to cause a denial of service  heap based buffer over read  via a crafted image file  a different vulnerability than cve    ,1,1,0.7998165,1,1,1,0,1,1,1,1,1
cve 2018 16336  exiv2  internal  pngchunk  parsetxtchunk in exiv2 v0 26 allows remote attackers to cause a denial of service  heap based buffer over read  via a crafted image file  a different vulnerability than cve   vulmon vulnerability feed  vul   ,0,1,0.8431164,0,0,0,0,0,0,0,0,0
cve 2018 16367   in onlinejudge 2 0  the sandbox has an incorrect access control vulnerability that can wri    ,0,1,0.2425172,0,0,0,0,0,0,0,0,0
python for iot  make your own botnet and have fun with the mqtt protocol in best 20 hacking tutorials   infosec  hacking  hackers  pentesting  pentest  programming  mqtt  network  python  iot  protocol ,0,1,0.1605089,0,0,0,0,0,0,0,0,0
4  anger is a powerful emotion  it wants to drown sadness  vulnerability  and heartache  it will consume you if you let it  it consumed me for weeks before i forced myself to feel complete soul wrenching heartache  when i did i found anger lessened its grip on me  3 4,0,0,0.6519623,0,0,0,0,0,0,0,0,0
hakin9  python for iot  make your own botnet and have fun with the mqtt protocol in best 20 hacking tutorials   infosec  hacking  hackers  pentesting  pentest  programming  mqtt  network  python  iot  protocol ,0,1,0.1605089,0,0,0,0,0,0,0,0,0
any of our ddos prot provider tangodown,0,0,0.5315687,0,0,0,0,0,0,0,0,0
tool review  a2sv  ssl vulnerability scanner   crime  drown ,0,0,0.29625472,0,0,0,0,0,0,0,0,0
cybersecurity talent by countries and industry  infographic        infosec  cybersecurity  cyberattack  hack  breach  threat  ddos  cyberwarfare  malware  ransomware  cyberwarning  phishing  spyware  tech  technology  talent  infographics ,1,0,0.41914198,0,0,0,0,0,0,1,0,0
cve 2018 16334  an issue was discovered on tenda ac9 v15 03 05 19 6318  cn and ac10 v15 03 06 23 cn devices  the mac parameter in a post request is used directly in a dosystemcmd call  causing os command injection  vulmon vulnerability feed  vulmonf   ,0,1,0.7474514,0,0,0,0,0,0,0,0,0
as convenient and  functional as it may sound  internet of things in itself has security flaws we all must take note of when using them  especially due to it is connectivity  the vulnerability of  hack one  expose all  is a threat to all users  ,1,0,0.61848056,1,1,1,1,1,1,1,1,1
new android vulnerability allows apps to bypass permission checks and access broadcast system information   feedlab,0,1,0.317857,0,0,0,0,0,0,0,0,0
2018 cyberthreat defense report  it security concerns by   infographics       infosec  cybersecurity  cyberattack  hack  breach  threat  ddos  cyberwarfare  malware  ransomware  cyberwarning  phishing  spyware  tech  technology mt    machinelearni ,0,0,0.673998,0,0,0,0,0,0,0,0,0
 cybersecurity  hacker dns security  in depth vulnerability analysis and mitigation solutions  ,0,0,0.4339451,0,0,0,0,0,0,0,0,0
poc       php 7 2 7 2 7 cve 2018 12882     remote code rxecution  ,0,1,0.40634042,0,0,0,0,0,0,0,0,0
 cyberwar  anonymous an investigation into the detection and mitigation of denial of service  dos  attacks  critical  ,1,0,0.7189455,1,1,1,1,1,1,1,1,1
 not  an invitation to hack any device gadget laptop phone tablet that we ever use   sql injection  hacking    lockmitchmcconnellup   locksessionsup   locktrumpup   lockrandpaulup   lockpenceup   locksarahhuckabeesandersup   lockpaulryanup   muellertime,1,1,0.8851893,1,1,1,1,1,1,1,1,1
how to protect businesses against ddos attacks  ,0,0,0.6025316,0,0,0,0,0,0,0,0,0
  the internet of things is one gigantic vulnerability,0,0,0.6155756,0,0,0,0,0,0,0,0,0
protect  your customers  access prestashop anti ddos attack  prestashop  ,1,0,0.34471422,1,1,1,1,1,1,1,1,1
cve 2018 16332  an issue was discovered in icms 7 0 9  there is an admincp php app article amp do update csrf vulnerability   ,0,1,0.7022278,0,0,0,0,0,0,0,0,0
cve 2018 16332  an issue was discovered in icms 7 0 9  there is an admincp php app article amp do update csrf vulnerability  vulmon vulnerability feed  vulmonfeeds  september 3  2018,0,1,0.72773874,0,0,0,1,0,1,0,0,0
